chr	start	end
1	1	122678785
2	1	85426708
3	1	91889043
4	1	88276631
5	1	88915250
6	1	77573801
7	1	80974532
8	1	74330416
9	1	61074082
10	1	69331447
11	1	74389097
12	1	72498081
13	1	63241923
14	1	60966679
15	1	64190966
16	1	59632846
17	1	64289059
18	1	55844845
19	1	53741614
20	1	58134056
21	1	50858623
22	1	61439934
23	1	52294480
24	1	47698779
25	1	51628933
26	1	38964690
27	1	45876710
28	1	41182112
29	1	41845238
30	1	40214260
31	1	39895921
32	1	38810281
33	1	31377067
34	1	42124431
35	1	26524999
36	1	30810995
37	1	30902991
38	1	23914537
X	1	123869142
